period,minute,second,play_pattern,team,player,under_pressure,body_part,type,outcome,technique,first_time,follows_dribble,redirect,one_on_one,open_goal,deflected,start_location_x,start_location_y,end_location_x,end_location_y,end_location_z,defenders_between
2,72,27,From Free Kick,Huesca,Luis Ezequiel Ávila,,Right Foot,Open Play,Off T,Normal,,,,,,,93.9,53.8,120.0,32.3,0.2,1.0
2,77,23,From Free Kick,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Free Kick,Off T,Normal,,,,,,,96.2,47.5,120.0,44.5,2.0,4.0
2,80,51,Regular Play,Barcelona,Jordi Alba Ramos,,Left Foot,Open Play,Goal,Normal,True,,,,,,111.7,30.9,120.0,39.9,0.30000000000000004,1.0
2,86,13,Regular Play,Barcelona,Arturo Erasmo Vidal Pardo,,Right Foot,Open Play,Off T,Half Volley,,,,,,,100.0,47.3,120.0,50.0,4.7,2.0
2,89,4,From Keeper,Barcelona,Luis Alberto Suárez Díaz,,Head,Open Play,Off T,Diving Header,,,,,,,112.2,48.6,120.0,35.4,2.5,1.0
2,92,5,Other,Barcelona,Luis Alberto Suárez Díaz,,Right Foot,Penalty,Goal,Normal,,,,,,,108.1,40.1,120.0,42.3,0.30000000000000004,0.0
1,11,53,From Free Kick,Real Sociedad,Aritz Elustondo Irribaria,1.0,Left Foot,Open Play,Goal,Half Volley,True,,,,,,107.8,28.1,119.9,37.9,1.1,2.0
1,16,25,Regular Play,Real Sociedad,Juan Miguel Jiménez López,,Right Foot,Open Play,Wayward,Normal,True,,,,,,100.8,52.8,106.0,50.5,,2.0
1,35,4,From Corner,Barcelona,Gerard Piqué Bernabéu,1.0,Head,Open Play,Off T,Normal,,,,,,,112.6,45.8,120.0,34.5,0.6000000000000001,1.0
1,40,50,From Corner,Barcelona,Gerard Piqué Bernabéu,,Right Foot,Open Play,Saved,Normal,,,,,,,113.5,35.0,117.1,36.4,0.30000000000000004,1.0
1,41,57,From Corner,Barcelona,Ivan Rakitić,,Head,Open Play,Off T,Normal,,,,,,,111.7,37.3,120.0,40.2,3.6,2.0
2,53,4,From Corner,Real Sociedad,Mikel Oyarzabal Ugarte,,Left Foot,Open Play,Saved,Half Volley,True,,,,,,105.3,34.0,119.3,36.7,1.9,4.0
2,57,1,From Throw In,Barcelona,Ousmane Dembélé,,Head,Open Play,Wayward,Normal,,,,,,,111.5,31.5,119.7,53.0,,1.0
2,58,33,From Counter,Real Sociedad,Mikel Oyarzabal Ugarte,,Right Foot,Open Play,Off T,Normal,,,,True,,,109.3,51.9,120.0,42.9,4.3,1.0
2,59,30,From Goal Kick,Barcelona,Lionel Andrés Messi Cuccittini,,Left Foot,Open Play,Saved,Normal,,,,,,,98.3,43.3,117.3,40.5,0.2,2.0
2,59,54,Regular Play,Real Sociedad,Theo Bernard François Hernández,,Left Foot,Open Play,Saved,Normal,,,,True,,,111.8,25.6,118.2,34.8,0.8,1.0
2,61,5,Regular Play,Real Sociedad,Juan Miguel Jiménez López,,Right Foot,Open Play,Saved,Normal,,,,True,,,107.8,33.3,112.6,35.9,0.2,1.0
