player,team,distance,angle,under_pressure,follows_dribble,one_on_one,first_time,defenders_between,Corner,Free Kick,Open Play,Penalty,Backheel,Diving Header,Half Volley,Lob,Normal,Overhead Kick,Volley,Head,Other,preferred_foot,not_preferred_foot,goal
Luis Alberto Suárez Díaz,Barcelona,10.640488710580922,0.2785473216834733,1,0,1,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,18.29890707118871,0.3870493837203351,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Luis Alberto Suárez Díaz,Barcelona,11.172287142747454,0.47872288216870446,0,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,6.585590330410787,0.8746709582479564,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
Lionel Andrés Messi Cuccittini,Barcelona,12.237646832622683,0.5722562613957488,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
Gerard Piqué Bernabéu,Barcelona,6.95701085237043,0.9437839676465026,0,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Luis Alberto Suárez Díaz,Barcelona,14.762791064023087,0.384286340492286,1,0,0,1,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,29.966814979239956,0.12267528165123917,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Luis Alberto Suárez Díaz,Barcelona,11.250777750893496,0.5602732590675827,0,0,0,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,1.7088007490635013,5.442119897218468,0,0,0,1,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
Jordi Alba Ramos,Barcelona,12.191800523302536,0.40862202051428426,0,0,0,1,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,10.568822072492285,0.585263252925734,0,0,1,0,1.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,15.852129194527778,0.3618097773909758,0,0,0,1,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,19.068822721919677,0.24377409835030023,1,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,12.658988901172169,0.2860234229205471,1,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Ivan Rakitić,Barcelona,23.787601812709067,0.2848605301671344,0,0,0,1,3.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,28.09590717524529,0.21635292738354173,0,0,0,0,5.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Lionel Andrés Messi Cuccittini,Barcelona,16.896153408394472,0.4110123743842249,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1
Lionel Andrés Messi Cuccittini,Barcelona,26.886799735186035,0.25532476765494555,0,0,0,0,6.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,17.556765077883796,0.3121923428841825,0,0,1,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,18.45047424864738,0.26032114759576885,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Lionel Andrés Messi Cuccittini,Barcelona,16.022796260328597,0.0959668953615688,0,0,1,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
Gerard Piqué Bernabéu,Barcelona,11.985407794480759,0.5697770018075315,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Lionel Andrés Messi Cuccittini,Barcelona,20.390684147423798,0.29493851036874924,0,0,0,0,2.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
Philippe Coutinho Correia,Barcelona,6.708203932499369,0.9470432393855713,0,0,1,0,1.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
